date,region,channel,category,product_id,orders,units,gmv,discount,refund_amount,new_customers,returning_customers,avg_session_seconds,impressions,clicks,ctr
2024-01-04,华中,小程序,美妆个护,美妆个护-SKU006,52,56,4761.15,741.73,252.68,7,45,337,988,52,0.0526
2024-01-04,西南,小程序,食品生鲜,食品生鲜-SKU003,16,16,1382.28,258.53,19.24,4,12,445,320,40,0.125
2024-01-04,华南,拼多多,家居家装,家居家装-SKU008,27,33,2086.37,414.01,160.21,8,19,116,324,27,0.0833
2024-01-04,华北,天猫,美妆个护,美妆个护-SKU005,22,27,2825.79,172.97,107.41,7,15,104,374,25,0.0668
2024-01-04,华南,小程序,母婴玩具,母婴玩具-SKU008,38,55,6414.87,1431.57,441.57,13,25,465,380,38,0.1
2024-01-04,华中,拼多多,手机数码,手机数码-SKU004,63,77,8491.25,986.35,360.8,16,47,354,1701,229,0.1346
2024-01-04,西北,线下门店,母婴玩具,母婴玩具-SKU008,55,54,4105.71,266.04,81.21,16,39,563,990,96,0.097
2024-01-04,华东,小程序,食品生鲜,食品生鲜-SKU004,20,20,3303.05,114.26,61.11,6,14,249,100,20,0.2
2024-01-04,西南,拼多多,手机数码,手机数码-SKU004,31,32,5080.08,1201.52,7.94,11,20,419,558,31,0.0556
2024-01-04,东北,拼多多,母婴玩具,母婴玩具-SKU004,33,29,5466.33,531.41,292.5,11,22,199,957,72,0.0752
2024-01-04,华中,线下门店,手机数码,手机数码-SKU007,37,41,3910.54,419.03,271.19,5,32,296,555,37,0.0667
2024-01-04,华北,美团,母婴玩具,母婴玩具-SKU005,54,72,5046.39,103.33,7.83,14,40,388,540,54,0.1
2024-01-05,华东,美团,手机数码,手机数码-SKU004,23,30,2827.56,89.22,151.43,6,17,253,391,42,0.1074
2024-01-05,华南,线下门店,家用电器,家用电器-SKU003,63,76,7921.08,617.76,429.23,24,39,436,1575,63,0.04
2024-01-05,东北,小程序,美妆个护,美妆个护-SKU002,39,49,6925.44,1394.66,441.14,10,29,72,546,46,0.0842
2024-01-05,华东,线下门店,家居家装,家居家装-SKU001,57,66,5872.46,1410.55,298.6,19,38,186,912,57,0.0625
2024-01-05,西北,抖音,运动户外,运动户外-SKU008,31,37,2746.63,584.84,182.54,3,28,491,310,35,0.1129
2024-01-05,西北,拼多多,家居家装,家居家装-SKU001,30,43,4836.3,429.01,99.96,5,25,312,600,30,0.05
2024-01-05,华东,京东,母婴玩具,母婴玩具-SKU008,39,37,6450.52,1147.94,231.28,4,35,331,390,39,0.1
2024-01-05,西北,线下门店,家居家装,家居家装-SKU008,16,20,3715.6,511.26,104.57,3,13,343,176,16,0.0909
2024-01-05,华北,天猫,服饰鞋包,服饰鞋包-SKU004,11,10,1390.04,339.38,58.34,2,9,132,319,11,0.0345
2024-01-05,华南,抖音,手机数码,手机数码-SKU003,33,39,3690.5,643.45,37.28,11,22,532,198,33,0.1667
2024-01-05,西南,拼多多,运动户外,运动户外-SKU006,32,26,4806.26,574.02,316.1,7,25,105,672,65,0.0967
2024-01-06,东北,线下门店,食品生鲜,食品生鲜-SKU002,85,94,14116.59,2139.78,893.01,14,71,565,1275,93,0.0729
2024-01-06,东北,线下门店,母婴玩具,母婴玩具-SKU005,68,65,10710.93,265.72,653.57,19,49,300,1632,68,0.0417
2024-01-06,华中,天猫,服饰鞋包,服饰鞋包-SKU001,27,39,2110.41,17.22,48.64,4,23,494,135,27,0.2
2024-01-06,东北,美团,美妆个护,美妆个护-SKU007,16,19,2279.0,151.34,25.93,1,15,344,352,40,0.1136
2024-01-06,华北,拼多多,家用电器,家用电器-SKU008,35,42,1017.84,127.35,40.21,4,31,70,560,63,0.1125
2024-01-06,华东,天猫,美妆个护,美妆个护-SKU001,55,66,5060.24,50.9,306.15,13,42,482,605,55,0.0909
2024-01-06,西北,美团,运动户外,运动户外-SKU002,26,28,3618.4,94.62,46.55,5,21,537,312,32,0.1026
2024-01-07,华中,天猫,运动户外,运动户外-SKU002,17,15,3654.71,369.29,150.46,6,11,585,289,19,0.0657
2024-01-07,华北,线下门店,运动户外,运动户外-SKU008,55,67,9259.79,2147.51,324.55,17,38,154,165,55,0.3333
2024-01-07,华南,小程序,服饰鞋包,服饰鞋包-SKU005,34,39,3886.02,963.98,283.81,8,26,150,782,98,0.1253
2024-01-07,西北,抖音,食品生鲜,食品生鲜-SKU007,66,92,7675.69,1057.83,235.54,24,42,550,1716,228,0.1329
2024-01-07,华北,美团,母婴玩具,母婴玩具-SKU006,26,30,3026.32,213.99,72.28,7,19,531,780,26,0.0333
2024-01-07,华北,抖音,母婴玩具,母婴玩具-SKU008,93,105,3518.7,210.07,107.8,33,60,450,372,93,0.25
2024-01-07,东北,拼多多,母婴玩具,母婴玩具-SKU003,48,53,6282.82,927.0,437.13,17,31,480,288,48,0.1667
2024-01-07,西北,京东,母婴玩具,母婴玩具-SKU003,14,16,1249.13,194.63,39.72,1,13,366,420,43,0.1024
2024-01-07,华北,小程序,运动户外,运动户外-SKU001,44,62,7940.75,570.5,144.51,5,39,130,1188,117,0.0985
2024-01-07,西南,京东,食品生鲜,食品生鲜-SKU001,13,15,1144.74,107.27,13.33,3,10,214,104,13,0.125
2024-01-07,西南,线下门店,美妆个护,美妆个护-SKU008,70,63,10837.58,688.12,221.37,7,63,506,840,88,0.1048
2024-01-07,西南,抖音,食品生鲜,食品生鲜-SKU007,35,35,4518.12,1128.82,308.44,4,31,420,735,44,0.0599
2024-01-08,华北,天猫,母婴玩具,母婴玩具-SKU005,14,17,951.13,231.51,69.29,4,10,323,378,46,0.1217
2024-01-08,华北,京东,美妆个护,美妆个护-SKU005,42,34,2616.04,548.28,131.48,15,27,70,504,60,0.119
2024-01-08,华北,小程序,服饰鞋包,服饰鞋包-SKU002,50,49,7836.51,393.38,493.08,18,32,404,950,76,0.08
2024-01-08,华南,抖音,运动户外,运动户外-SKU005,45,47,6155.65,1481.81,69.32,17,28,436,1350,165,0.1222
2024-01-08,东北,拼多多,手机数码,手机数码-SKU005,22,24,3008.7,505.72,140.7,7,15,410,132,22,0.1667
2024-01-08,华中,线下门店,家居家装,家居家装-SKU004,34,38,2937.69,514.89,152.58,4,30,76,136,34,0.25
2024-01-08,华东,京东,服饰鞋包,服饰鞋包-SKU007,26,35,1614.86,381.9,54.15,8,18,188,416,42,0.101
2024-01-08,华中,拼多多,食品生鲜,食品生鲜-SKU001,50,62,8123.6,479.52,235.71,19,31,406,1000,136,0.136
2024-01-08,华东,拼多多,食品生鲜,食品生鲜-SKU004,94,91,9072.12,207.92,153.94,27,67,51,376,94,0.25
2024-01-08,华南,美团,美妆个护,美妆个护-SKU002,33,29,3374.08,685.83,62.89,10,23,32,363,47,0.1295
2024-01-08,华南,线下门店,食品生鲜,食品生鲜-SKU003,17,15,1770.99,158.61,111.7,4,13,46,136,17,0.125
2024-01-09,华中,天猫,家用电器,家用电器-SKU008,25,36,4023.04,454.61,71.3,7,18,563,300,25,0.0833
2024-01-09,华东,拼多多,母婴玩具,母婴玩具-SKU007,16,19,2005.76,36.85,12.96,4,12,97,112,16,0.1429
2024-01-09,华中,小程序,家居家装,家居家装-SKU007,43,47,4799.09,726.37,38.08,13,30,594,1118,146,0.1306
2024-01-09,华南,拼多多,家居家装,家居家装-SKU008,30,25,2569.61,200.77,52.4,11,19,515,150,30,0.2
2024-01-09,西南,天猫,家居家装,家居家装-SKU003,26,21,2429.58,200.23,23.76,5,21,463,780,107,0.1372
2024-01-09,华北,线下门店,食品生鲜,食品生鲜-SKU006,12,11,1427.04,172.03,96.73,2,10,599,168,12,0.0714
2024-01-09,华南,美团,母婴玩具,母婴玩具-SKU001,32,45,2192.54,15.87,47.93,10,22,377,448,32,0.0714
2024-01-09,华中,小程序,母婴玩具,母婴玩具-SKU002,16,20,1801.42,336.02,31.0,3,13,379,128,16,0.125
2024-01-09,东北,线下门店,家用电器,家用电器-SKU001,18,23,1930.04,39.36,68.42,4,14,482,288,18,0.0625
2024-01-10,华北,拼多多,家用电器,家用电器-SKU005,32,46,2974.95,229.38,52.48,12,20,86,96,32,0.3333
2024-01-10,东北,京东,食品生鲜,食品生鲜-SKU005,41,55,5052.01,221.9,153.66,12,29,542,820,103,0.1256
2024-01-10,华东,拼多多,手机数码,手机数码-SKU007,16,13,1314.42,189.2,60.3,5,11,457,192,16,0.0833
2024-01-10,华北,京东,运动户外,运动户外-SKU006,16,16,1523.86,224.34,63.88,3,13,347,416,23,0.0553
2024-01-10,华南,天猫,家用电器,家用电器-SKU004,42,51,7237.52,1481.79,471.91,7,35,179,462,42,0.0909
2024-01-10,东北,美团,家用电器,家用电器-SKU003,47,48,4128.23,581.81,191.37,14,33,360,1410,205,0.1454
2024-01-11,华东,拼多多,运动户外,运动户外-SKU005,41,51,4090.03,75.86,151.08,4,37,407,1189,59,0.0496
2024-01-11,东北,天猫,母婴玩具,母婴玩具-SKU008,61,70,6185.84,63.44,449.86,16,45,222,793,75,0.0946
2024-01-11,华东,拼多多,家用电器,家用电器-SKU006,87,91,12975.17,126.97,734.52,34,53,566,1653,157,0.095
2024-01-11,华北,拼多多,母婴玩具,母婴玩具-SKU006,66,92,9124.35,763.36,240.66,17,49,425,792,66,0.0833
2024-01-11,华中,美团,服饰鞋包,服饰鞋包-SKU006,9,7,392.67,30.45,20.61,2,7,162,198,21,0.1061
2024-01-11,华中,拼多多,家居家装,家居家装-SKU003,57,60,3554.57,609.09,149.69,16,41,463,1083,65,0.06
2024-01-11,华南,京东,家居家装,家居家装-SKU008,24,28,2879.92,212.96,181.58,6,18,582,696,78,0.1121
2024-01-11,西北,抖音,服饰鞋包,服饰鞋包-SKU007,22,28,3866.47,603.89,279.21,6,16,74,352,22,0.0625
2024-01-11,西南,线下门店,食品生鲜,食品生鲜-SKU008,24,32,5366.39,1052.31,388.09,3,21,481,408,48,0.1176
2024-01-12,华中,拼多多,服饰鞋包,服饰鞋包-SKU004,62,86,8877.32,1422.99,620.79,16,46,135,1550,199,0.1284
2024-01-12,华北,天猫,服饰鞋包,服饰鞋包-SKU005,15,16,1705.18,39.1,124.21,5,10,387,45,15,0.3333
2024-01-12,华北,京东,母婴玩具,母婴玩具-SKU002,51,70,6950.72,1458.22,361.42,17,34,170,204,51,0.25
2024-01-12,西北,美团,服饰鞋包,服饰鞋包-SKU008,39,39,4700.91,300.77,314.01,10,29,570,624,39,0.0625
2024-01-12,华北,天猫,手机数码,手机数码-SKU004,36,34,2788.52,77.28,201.92,10,26,46,828,68,0.0821
2024-01-12,华南,抖音,母婴玩具,母婴玩具-SKU001,44,59,7103.85,1179.9,48.66,17,27,99,836,72,0.0861
2024-01-12,华中,线下门店,手机数码,手机数码-SKU007,75,94,9801.61,914.74,585.99,15,60,99,1050,75,0.0714
2024-01-12,华东,美团,家居家装,家居家装-SKU003,5,4,495.5,21.69,30.89,1,4,520,115,5,0.0435
2024-01-12,西北,美团,运动户外,运动户外-SKU001,31,41,3944.8,41.33,294.56,7,24,586,558,31,0.0556
2024-01-12,华南,抖音,家居家装,家居家装-SKU001,53,60,7311.46,672.69,520.28,17,36,425,689,100,0.1451
2024-01-13,华北,美团,食品生鲜,食品生鲜-SKU002,68,68,9917.96,2038.99,432.8,13,55,111,884,90,0.1018
2024-01-13,华中,小程序,母婴玩具,母婴玩具-SKU003,45,65,5825.38,1267.07,164.3,17,28,311,1035,152,0.1469
2024-01-13,华东,小程序,母婴玩具,母婴玩具-SKU006,38,36,3662.46,28.51,248.66,11,27,478,152,38,0.25
2024-01-13,西北,抖音,家居家装,家居家装-SKU007,73,77,9100.59,1023.64,270.08,17,56,108,1533,73,0.0476
2024-01-13,华北,小程序,食品生鲜,食品生鲜-SKU004,75,112,9312.03,1205.31,680.55,10,65,296,1875,135,0.072
2024-01-13,华北,小程序,运动户外,运动户外-SKU004,20,16,1699.36,381.79,60.51,2,18,357,480,28,0.0583
2024-01-13,华中,抖音,食品生鲜,食品生鲜-SKU003,68,92,6450.98,1280.03,262.56,9,59,235,1904,68,0.0357
2024-01-13,华东,抖音,家居家装,家居家装-SKU008,33,35,3380.9,72.87,83.65,13,20,520,627,42,0.067
2024-01-13,华中,天猫,服饰鞋包,服饰鞋包-SKU006,26,28,3605.46,310.53,253.24,8,18,216,702,102,0.1453
2024-01-14,华东,美团,家用电器,家用电器-SKU003,37,34,7382.23,416.12,559.56,9,28,320,1110,37,0.0333
2024-01-14,华中,抖音,服饰鞋包,服饰鞋包-SKU005,60,49,9102.76,1346.77,422.84,9,51,375,1740,242,0.1391
2024-01-14,东北,天猫,家用电器,家用电器-SKU001,65,76,5779.06,304.57,264.51,18,47,61,1170,157,0.1342
2024-01-14,西北,抖音,运动户外,运动户外-SKU004,49,60,4368.58,79.7,20.94,11,38,525,833,49,0.0588
2024-01-14,华北,美团,家居家装,家居家装-SKU006,77,66,11410.05,1602.12,291.29,18,59,303,1309,77,0.0588
2024-01-14,华北,拼多多,母婴玩具,母婴玩具-SKU004,93,104,7233.41,1688.55,417.3,14,79,193,1674,250,0.1493
2024-01-14,华北,拼多多,手机数码,手机数码-SKU002,13,16,1513.61,81.41,42.73,1,12,536,286,38,0.1329
2024-01-14,西南,抖音,手机数码,手机数码-SKU002,46,39,3522.51,672.67,103.12,10,36,229,644,56,0.087
2024-01-14,华中,拼多多,食品生鲜,食品生鲜-SKU002,21,22,2983.43,736.0,133.14,4,17,177,189,21,0.1111
2024-01-14,华东,天猫,手机数码,手机数码-SKU003,56,68,4163.0,155.01,297.45,7,49,356,448,56,0.125
2024-01-14,东北,抖音,家居家装,家居家装-SKU008,41,57,7789.99,717.38,419.92,16,25,345,1148,155,0.135
2024-01-14,西北,天猫,运动户外,运动户外-SKU005,71,87,3710.81,535.87,214.16,19,52,204,1349,132,0.0979
2024-01-15,西南,京东,美妆个护,美妆个护-SKU001,39,47,3713.6,409.46,124.41,8,31,238,624,50,0.0801
2024-01-15,西南,美团,手机数码,手机数码-SKU003,1,1,67.09,8.02,2.02,0,1,500,20,1,0.05
2024-01-15,东北,美团,食品生鲜,食品生鲜-SKU008,21,27,3593.26,202.0,279.67,3,18,325,525,21,0.04
2024-01-15,华北,拼多多,家居家装,家居家装-SKU005,17,24,1660.83,371.93,52.42,3,14,179,204,17,0.0833
2024-01-15,华东,抖音,运动户外,运动户外-SKU005,59,57,11394.86,772.38,512.33,10,49,141,1298,147,0.1133
2024-01-15,华东,小程序,美妆个护,美妆个护-SKU004,7,10,1070.66,26.91,66.02,0,7,593,56,7,0.125
2024-01-15,西南,拼多多,美妆个护,美妆个护-SKU005,16,22,810.65,18.13,37.23,4,12,68,128,16,0.125
2024-01-15,华东,美团,母婴玩具,母婴玩具-SKU008,20,29,777.0,56.23,2.33,3,17,139,260,20,0.0769
2024-01-15,华中,线下门店,运动户外,运动户外-SKU003,47,61,5885.59,165.75,76.51,11,36,293,1175,47,0.04
2024-01-15,东北,抖音,美妆个护,美妆个护-SKU003,35,39,3107.22,332.24,81.52,7,28,127,280,41,0.1464
2024-01-15,华南,天猫,食品生鲜,食品生鲜-SKU007,23,29,477.3,36.03,27.6,2,21,398,575,24,0.0417
2024-01-15,西南,抖音,服饰鞋包,服饰鞋包-SKU007,76,72,6166.04,1186.72,340.51,22,54,332,1064,102,0.0959
2024-01-16,西南,京东,运动户外,运动户外-SKU006,22,31,2337.74,314.14,124.2,3,19,283,528,61,0.1155
2024-01-16,华东,线下门店,运动户外,运动户外-SKU006,13,15,1487.15,203.61,60.14,3,10,183,104,13,0.125
2024-01-16,华东,小程序,美妆个护,美妆个护-SKU008,6,8,691.57,78.4,28.4,1,5,89,120,8,0.0667
2024-01-16,西北,天猫,母婴玩具,母婴玩具-SKU005,56,63,3777.34,42.77,104.11,6,50,91,280,56,0.2
2024-01-16,华北,拼多多,服饰鞋包,服饰鞋包-SKU003,76,112,8525.51,895.95,677.17,16,60,416,1140,76,0.0667
2024-01-16,东北,线下门店,服饰鞋包,服饰鞋包-SKU006,21,27,2482.28,79.03,194.36,7,14,53,252,21,0.0833
2024-01-16,西南,线下门店,母婴玩具,母婴玩具-SKU004,20,28,2928.73,686.36,169.87,2,18,459,440,51,0.1159
2024-01-17,华南,京东,家用电器,家用电器-SKU002,25,33,3493.06,761.67,68.39,2,23,479,250,25,0.1
2024-01-17,东北,天猫,服饰鞋包,服饰鞋包-SKU005,31,46,2905.31,419.44,179.56,10,21,272,372,49,0.1317
2024-01-17,华中,京东,母婴玩具,母婴玩具-SKU005,16,16,1621.16,297.97,22.71,4,12,599,288,16,0.0556
2024-01-17,西北,小程序,母婴玩具,母婴玩具-SKU006,39,35,5397.96,248.14,232.3,6,33,260,468,60,0.1282
2024-01-17,西南,天猫,母婴玩具,母婴玩具-SKU007,48,66,6828.88,347.14,353.3,18,30,409,240,48,0.2
2024-01-17,华东,抖音,母婴玩具,母婴玩具-SKU001,71,57,12971.44,2348.82,579.93,17,54,370,852,122,0.1432
2024-01-18,西北,天猫,运动户外,运动户外-SKU004,46,46,3747.89,224.25,96.43,8,38,507,920,92,0.1
2024-01-18,华北,线下门店,运动户外,运动户外-SKU008,20,19,2294.51,481.69,167.84,4,16,453,80,20,0.25
2024-01-18,华南,天猫,食品生鲜,食品生鲜-SKU007,29,33,4271.24,608.43,83.97,7,22,375,319,37,0.116
2024-01-18,西北,小程序,运动户外,运动户外-SKU008,20,23,1932.12,347.93,75.48,7,13,585,460,66,0.1435
2024-01-18,东北,美团,家用电器,家用电器-SKU001,27,33,4326.24,250.31,244.75,2,25,547,459,28,0.061
2024-01-18,西北,线下门店,运动户外,运动户外-SKU008,7,9,782.06,3.27,45.18,1,6,323,21,7,0.3333
2024-01-18,西南,美团,服饰鞋包,服饰鞋包-SKU002,49,53,5657.87,876.66,114.25,10,39,436,245,49,0.2
2024-01-19,华南,小程序,美妆个护,美妆个护-SKU005,62,52,4489.74,963.3,272.83,7,55,418,930,81,0.0871
2024-01-19,华东,小程序,服饰鞋包,服饰鞋包-SKU002,20,28,2965.34,419.49,203.53,2,18,570,80,20,0.25
2024-01-19,西北,线下门店,运动户外,运动户外-SKU005,20,24,3221.24,724.22,145.22,2,18,352,60,20,0.3333
2024-01-19,东北,美团,母婴玩具,母婴玩具-SKU002,17,23,1696.02,360.17,91.86,4,13,423,459,52,0.1133
2024-01-19,西北,小程序,家用电器,家用电器-SKU006,6,7,896.53,76.34,55.15,2,4,436,162,9,0.0556
2024-01-19,东北,拼多多,运动户外,运动户外-SKU004,39,33,4080.43,693.36,215.67,4,35,332,1092,48,0.044
2024-01-19,华北,京东,母婴玩具,母婴玩具-SKU003,50,46,6867.28,8.92,169.36,10,40,306,300,50,0.1667
2024-01-19,西南,线下门店,母婴玩具,母婴玩具-SKU002,10,8,1340.44,200.41,34.79,2,8,328,160,10,0.0625
2024-01-19,华中,京东,服饰鞋包,服饰鞋包-SKU007,19,20,2876.62,104.95,38.48,3,16,336,342,40,0.117
2024-01-19,华南,小程序,运动户外,运动户外-SKU004,37,50,4569.72,452.05,307.68,7,30,367,629,37,0.0588
2024-01-20,西北,线下门店,服饰鞋包,服饰鞋包-SKU005,34,38,3783.81,297.2,291.98,13,21,328,884,94,0.1063
2024-01-20,华中,美团,美妆个护,美妆个护-SKU006,36,42,3005.02,85.56,135.55,9,27,588,288,36,0.125
2024-01-20,西北,拼多多,美妆个护,美妆个护-SKU008,60,58,6407.32,1358.01,407.53,18,42,172,1380,72,0.0522
2024-01-20,华南,小程序,母婴玩具,母婴玩具-SKU007,19,28,2229.3,223.38,90.35,7,12,458,380,19,0.05
2024-01-20,西北,美团,家用电器,家用电器-SKU002,46,62,4079.16,659.8,14.46,18,28,439,1242,70,0.0564
2024-01-20,华东,天猫,家用电器,家用电器-SKU005,22,28,1515.73,260.58,26.8,4,18,504,594,62,0.1044
2024-01-20,华南,抖音,手机数码,手机数码-SKU008,5,4,857.38,24.88,64.52,0,5,349,65,5,0.0769
2024-01-20,西南,抖音,运动户外,运动户外-SKU002,32,43,2780.35,208.71,180.21,4,28,381,736,32,0.0435
2024-01-20,西北,京东,服饰鞋包,服饰鞋包-SKU003,20,24,2797.59,557.95,140.94,3,17,472,300,20,0.0667
2024-01-20,华南,拼多多,母婴玩具,母婴玩具-SKU007,10,9,1515.22,266.59,96.49,2,8,579,80,10,0.125
2024-01-20,华东,抖音,运动户外,运动户外-SKU006,31,39,2658.43,231.23,179.82,8,23,334,682,63,0.0924
2024-01-20,华北,天猫,美妆个护,美妆个护-SKU005,14,16,1900.93,184.61,90.7,3,11,463,112,14,0.125
2024-01-21,华南,线下门店,服饰鞋包,服饰鞋包-SKU008,33,35,6300.21,975.6,436.24,12,21,526,231,33,0.1429
2024-01-21,华中,线下门店,运动户外,运动户外-SKU007,25,23,3967.83,484.77,26.24,2,23,255,300,25,0.0833
2024-01-21,华北,京东,运动户外,运动户外-SKU008,47,55,6244.45,1210.04,411.28,9,38,72,1269,140,0.1103
2024-01-21,西南,天猫,美妆个护,美妆个护-SKU005,76,71,9597.48,2068.74,66.79,27,49,150,2052,253,0.1233
2024-01-21,西北,线下门店,家居家装,家居家装-SKU007,22,22,3099.49,160.35,14.72,4,18,317,484,41,0.0847
2024-01-21,西北,抖音,食品生鲜,食品生鲜-SKU005,23,32,2581.37,526.07,28.0,7,16,451,92,23,0.25
2024-01-21,华南,小程序,服饰鞋包,服饰鞋包-SKU004,16,17,2354.02,496.44,73.95,2,14,305,368,25,0.0679
2024-01-21,西北,美团,家用电器,家用电器-SKU007,35,45,7434.22,685.94,565.15,6,29,32,1050,124,0.1181
2024-01-21,西北,拼多多,家居家装,家居家装-SKU002,21,18,3841.67,792.2,152.04,4,17,320,273,23,0.0842
2024-01-21,东北,拼多多,家居家装,家居家装-SKU001,7,7,460.29,1.87,34.22,1,6,497,21,7,0.3333
2024-01-21,西北,京东,食品生鲜,食品生鲜-SKU003,67,67,7209.53,649.64,47.54,20,47,199,268,67,0.25
2024-01-22,东北,京东,母婴玩具,母婴玩具-SKU002,69,94,8301.44,275.4,150.22,20,49,39,207,69,0.3333
2024-01-22,东北,拼多多,服饰鞋包,服饰鞋包-SKU008,9,11,1470.95,37.67,36.87,3,6,170,135,15,0.1111
2024-01-22,华南,小程序,服饰鞋包,服饰鞋包-SKU002,59,65,7262.01,799.0,419.7,17,42,185,944,90,0.0953
2024-01-22,华南,天猫,家用电器,家用电器-SKU003,41,48,4058.57,977.35,102.11,5,36,313,943,41,0.0435
2024-01-22,华中,小程序,食品生鲜,食品生鲜-SKU001,52,74,4761.35,616.3,194.08,16,36,332,1196,52,0.0435
2024-01-22,华南,拼多多,母婴玩具,母婴玩具-SKU002,22,30,2382.36,529.32,2.3,4,18,354,154,22,0.1429
2024-01-22,西南,抖音,服饰鞋包,服饰鞋包-SKU008,67,67,7552.33,127.51,158.41,7,60,91,1876,123,0.0656
2024-01-22,西北,线下门店,母婴玩具,母婴玩具-SKU007,68,61,9830.07,1513.95,218.2,13,55,553,612,89,0.1454
2024-01-22,华北,拼多多,家用电器,家用电器-SKU005,47,47,2029.33,29.38,14.0,10,37,494,1034,98,0.0948
2024-01-22,西北,小程序,服饰鞋包,服饰鞋包-SKU002,11,14,1370.48,170.08,38.01,2,9,295,88,11,0.125
2024-01-22,东北,抖音,家用电器,家用电器-SKU001,20,16,2818.69,185.29,219.87,5,15,538,340,27,0.0794
2024-01-23,华中,京东,家居家装,家居家装-SKU003,33,32,4998.76,903.25,91.34,8,25,75,990,129,0.1303
2024-01-23,西南,抖音,母婴玩具,母婴玩具-SKU003,22,31,2581.77,518.36,147.47,6,16,259,286,22,0.0769
2024-01-23,华北,抖音,家用电器,家用电器-SKU006,16,22,1733.42,96.72,71.52,1,15,440,80,16,0.2
2024-01-23,东北,美团,食品生鲜,食品生鲜-SKU006,10,14,1303.03,94.99,81.78,3,7,278,170,10,0.0588
2024-01-23,东北,美团,美妆个护,美妆个护-SKU004,20,25,2327.47,315.11,118.41,6,14,39,260,20,0.0769
2024-01-23,东北,小程序,食品生鲜,食品生鲜-SKU002,29,27,3351.83,805.43,260.79,4,25,316,145,29,0.2
