date,platform,channel,user_segment,dau,new_users,session_count,avg_session_duration,page_views,bounce_rate,conversion_rate,gmv,orders,aov,retention_d1,retention_d7
2025-01-02,Android,EDM,活跃用户,1771,166,5572,748.8,30055,0.569,0.0492,3080.67,87,35.41,0.469,0.154
2025-01-02,Android,KOL推荐,活跃用户,3082,606,10807,345.1,85975,0.3,0.0211,2517.45,65,38.73,0.394,0.157
2025-01-02,Android,KOL推荐,高价值VIP,474,57,1490,650.5,8864,0.531,0.045,5523.0,21,263.0,0.229,0.2
2025-01-02,Android,社交分享,流失预警,76,7,196,637.3,415,0.168,0.043,1018.68,3,339.56,0.477,0.24
2025-01-02,Android,社交分享,活跃用户,2722,168,6968,870.6,62702,0.532,0.0399,17197.92,108,159.24,0.275,0.24
2025-01-02,快应用,社交分享,流失预警,72,17,127,877.9,1297,0.253,0.0662,1895.36,4,473.84,0.216,0.228
2025-01-02,快应用,社交分享,新用户,250,18,854,660.9,10035,0.393,0.0267,2835.36,6,472.56,0.378,0.069
2025-01-02,快应用,社交分享,活跃用户,3219,447,10823,47.6,37368,0.597,0.067,11360.6,215,52.84,0.233,0.154
2025-01-02,快应用,KOL推荐,活跃用户,2061,190,7831,70.0,70690,0.545,0.0686,45778.47,141,324.67,0.235,0.145
2025-01-02,快应用,KOL推荐,流失预警,89,10,164,57.8,1704,0.217,0.0612,356.1,5,71.22,0.307,0.129
2025-01-02,快应用,自然增长,活跃用户,2348,553,3793,709.0,28285,0.291,0.0379,32281.92,88,366.84,0.389,0.072
2025-01-02,快应用,自然增长,流失预警,99,25,318,139.9,889,0.328,0.0726,2671.62,7,381.66,0.141,0.089
2025-01-02,快应用,自然增长,新用户,229,26,440,498.4,4242,0.383,0.0574,2040.22,13,156.94,0.418,0.103
2025-01-02,小程序,EDM,高价值VIP,408,40,1622,441.1,6989,0.383,0.03,986.28,12,82.19,0.434,0.246
2025-01-02,小程序,EDM,流失预警,77,12,296,677.3,2354,0.251,0.0707,1678.75,5,335.75,0.34,0.055
2025-01-02,小程序,EDM,沉默召回,111,12,284,476.1,2509,0.512,0.0299,471.21,3,157.07,0.419,0.082
2025-01-02,小程序,SEO,流失预警,67,14,176,607.6,2005,0.286,0.0127,0.0,0,421.09,0.234,0.242
2025-01-02,小程序,付费搜索,流失预警,74,7,156,520.2,1687,0.634,0.0349,179.94,2,89.97,0.302,0.14
2025-01-02,小程序,付费搜索,新用户,346,98,1141,465.9,2709,0.158,0.0162,2042.55,5,408.51,0.491,0.207
2025-01-02,小程序,付费搜索,高价值VIP,423,72,1370,480.7,9029,0.505,0.0102,1194.08,4,298.52,0.387,0.233
2025-01-02,iOS,SEO,活跃用户,2822,753,9200,812.7,71904,0.449,0.0586,48920.85,165,296.49,0.394,0.237
2025-01-02,iOS,SEO,流失预警,101,20,356,464.9,3933,0.438,0.0791,3324.16,7,474.88,0.38,0.154
2025-01-02,iOS,SEO,沉默召回,184,14,624,381.3,2061,0.153,0.0607,752.62,11,68.42,0.234,0.186
2025-01-02,iOS,社交分享,流失预警,79,21,301,387.7,3266,0.514,0.068,489.7,5,97.94,0.358,0.197
2025-01-02,iOS,社交分享,沉默召回,107,13,262,670.8,2788,0.565,0.0266,880.32,2,440.16,0.437,0.215
2025-01-02,iOS,社交分享,活跃用户,2878,787,8476,258.0,41264,0.154,0.0146,20895.84,42,497.52,0.394,0.095
2025-01-02,iOS,信息流广告,流失预警,97,7,217,182.7,1970,0.246,0.0427,1085.84,4,271.46,0.416,0.099
2025-01-02,iOS,异业合作,流失预警,69,6,198,287.8,459,0.519,0.0479,945.75,3,315.25,0.268,0.148
2025-01-02,iOS,异业合作,活跃用户,2543,692,5300,434.9,55202,0.205,0.0752,6799.6,191,35.6,0.155,0.215
2025-01-02,iOS,异业合作,沉默召回,133,25,380,839.8,2013,0.153,0.0736,905.04,9,100.56,0.298,0.057
2025-01-02,iOS,KOL推荐,新用户,252,65,918,433.6,9879,0.158,0.0341,1401.04,8,175.13,0.346,0.132
2025-01-02,Web,短信复购,沉默召回,144,28,279,898.7,2679,0.169,0.0581,2233.68,8,279.21,0.363,0.21
2025-01-02,Web,短信复购,新用户,263,57,866,135.4,2074,0.342,0.0126,811.59,3,270.53,0.227,0.212
2025-01-02,Web,社交分享,沉默召回,115,11,245,734.5,2649,0.287,0.0124,424.82,1,424.82,0.487,0.075
2025-01-02,Web,EDM,活跃用户,2005,156,6369,786.0,60183,0.439,0.0096,797.81,19,41.99,0.198,0.089
2025-01-03,iOS,信息流广告,活跃用户,2100,124,3871,650.5,37996,0.554,0.0114,9858.49,23,428.63,0.121,0.202
2025-01-03,iOS,信息流广告,流失预警,84,21,197,623.8,2292,0.15,0.0508,1064.52,4,266.13,0.219,0.182
2025-01-03,iOS,异业合作,高价值VIP,301,37,942,244.7,4932,0.21,0.0539,5350.4,16,334.4,0.375,0.074
2025-01-03,iOS,EDM,流失预警,75,4,132,739.1,1250,0.569,0.0127,0.0,0,193.46,0.421,0.092
2025-01-03,iOS,EDM,新用户,230,36,601,75.1,5214,0.205,0.0743,8012.95,17,471.35,0.485,0.185
2025-01-03,iOS,EDM,活跃用户,3103,589,5718,53.8,26438,0.324,0.0764,79252.8,237,334.4,0.112,0.055
2025-01-03,iOS,线下地推,活跃用户,2492,394,6031,593.9,52368,0.637,0.0507,11526.48,126,91.48,0.494,0.196
2025-01-03,iOS,线下地推,高价值VIP,310,73,959,359.5,5869,0.515,0.0514,1116.75,15,74.45,0.405,0.139
2025-01-03,iOS,线下地推,沉默召回,180,49,334,741.3,3852,0.458,0.0653,3975.4,11,361.4,0.139,0.054
2025-01-03,iOS,KOL推荐,流失预警,94,10,316,299.3,2623,0.377,0.0083,0.0,0,343.79,0.107,0.161
2025-01-03,iOS,KOL推荐,活跃用户,3049,540,11922,760.7,122493,0.437,0.0756,96126.2,230,417.94,0.385,0.241
2025-01-03,iOS,KOL推荐,高价值VIP,312,69,891,329.8,2183,0.157,0.0353,807.29,11,73.39,0.446,0.207
2025-01-03,iOS,自然增长,沉默召回,110,14,283,597.7,1035,0.549,0.0246,168.12,2,84.06,0.403,0.131
2025-01-03,iOS,自然增长,高价值VIP,349,89,1176,502.8,10660,0.425,0.0262,2274.03,9,252.67,0.114,0.183
2025-01-03,iOS,自然增长,流失预警,76,15,201,113.6,1374,0.441,0.0178,294.8,1,294.8,0.138,0.215
2025-01-03,Android,KOL推荐,高价值VIP,351,35,1063,150.3,8518,0.403,0.0539,2311.2,18,128.4,0.12,0.192
2025-01-03,Android,EDM,高价值VIP,361,31,1121,378.1,6031,0.412,0.0787,4238.08,28,151.36,0.121,0.157
2025-01-03,Android,社交分享,流失预警,91,23,154,739.4,1458,0.499,0.0632,1960.75,5,392.15,0.477,0.1
2025-01-03,Android,社交分享,沉默召回,183,43,730,583.7,3655,0.585,0.0786,4126.5,14,294.75,0.455,0.078
2025-01-03,Web,短信复购,沉默召回,129,25,252,487.9,686,0.199,0.039,1787.6,5,357.52,0.441,0.236
2025-01-03,Web,短信复购,高价值VIP,420,115,1584,189.9,11304,0.22,0.0527,4124.56,22,187.48,0.3,0.142
2025-01-03,Web,EDM,活跃用户,3175,878,11827,748.4,72184,0.26,0.0689,69565.98,218,319.11,0.228,0.179
2025-01-03,Web,EDM,流失预警,57,16,209,876.0,1528,0.487,0.0583,184.68,3,61.56,0.274,0.159
2025-01-04,快应用,短信复购,新用户,162,44,482,791.7,2801,0.272,0.0129,138.5,2,69.25,0.491,0.125
2025-01-04,快应用,信息流广告,流失预警,69,10,141,72.1,1240,0.56,0.0659,500.72,4,125.18,0.332,0.224
2025-01-04,快应用,信息流广告,活跃用户,1307,194,2925,428.9,32045,0.333,0.0788,18856.74,102,184.87,0.261,0.107
2025-01-04,快应用,EDM,沉默召回,132,38,498,897.9,2690,0.627,0.0159,534.18,2,267.09,0.389,0.217
2025-01-04,快应用,自然增长,活跃用户,2017,539,4346,118.3,25773,0.554,0.0715,66608.64,144,462.56,0.246,0.187
2025-01-04,快应用,自然增长,沉默召回,120,33,300,41.9,1237,0.341,0.0305,642.75,3,214.25,0.279,0.067
2025-01-04,iOS,短信复购,活跃用户,2161,455,8261,227.1,39932,0.362,0.0738,42376.68,159,266.52,0.226,0.119
2025-01-04,iOS,短信复购,高价值VIP,227,41,907,550.7,4393,0.374,0.0267,1589.28,6,264.88,0.186,0.19
2025-01-04,iOS,短信复购,流失预警,53,15,94,861.4,1079,0.622,0.0408,786.16,2,393.08,0.118,0.093
2025-01-04,iOS,线下地推,沉默召回,94,17,303,875.8,1903,0.52,0.0547,1002.0,5,200.4,0.224,0.194
2025-01-04,iOS,线下地推,新用户,215,59,352,619.7,1088,0.573,0.0337,2033.43,7,290.49,0.441,0.125
2025-01-04,iOS,线下地推,流失预警,71,15,172,423.1,1016,0.365,0.0678,503.0,4,125.75,0.25,0.226
2025-01-04,iOS,SEO,活跃用户,1789,282,3482,464.4,38846,0.634,0.0156,6606.63,27,244.69,0.264,0.2
2025-01-04,iOS,SEO,沉默召回,94,14,248,900.0,634,0.606,0.0632,254.05,5,50.81,0.295,0.082
2025-01-04,iOS,SEO,新用户,232,55,885,609.7,5429,0.506,0.0359,3784.08,8,473.01,0.284,0.136
2025-01-04,iOS,KOL推荐,流失预警,53,3,100,373.6,1146,0.48,0.0774,1657.24,4,414.31,0.202,0.233
2025-01-04,iOS,KOL推荐,新用户,235,59,551,420.3,2571,0.281,0.0789,4392.72,18,244.04,0.208,0.194
2025-01-04,iOS,社交分享,流失预警,42,10,129,52.4,1026,0.61,0.0739,764.43,3,254.81,0.423,0.243
2025-01-04,小程序,社交分享,新用户,226,53,537,694.9,6279,0.155,0.0195,587.08,4,146.77,0.493,0.184
2025-01-04,小程序,社交分享,活跃用户,1784,235,5349,203.3,46902,0.179,0.0476,29750.28,84,354.17,0.223,0.174
2025-01-04,小程序,异业合作,沉默召回,109,7,393,41.7,2918,0.605,0.0381,793.92,4,198.48,0.254,0.161
2025-01-04,小程序,异业合作,流失预警,61,3,130,732.0,1260,0.199,0.0342,432.26,2,216.13,0.354,0.247
2025-01-04,小程序,异业合作,高价值VIP,212,52,528,315.3,3834,0.247,0.0752,1071.45,15,71.43,0.424,0.206
2025-01-04,小程序,自然增长,沉默召回,122,30,340,828.6,1749,0.476,0.0721,3982.96,8,497.87,0.372,0.155
2025-01-05,Web,短信复购,高价值VIP,296,70,783,629.0,4215,0.291,0.0698,3073.6,20,153.68,0.207,0.207
2025-01-05,Web,社交分享,高价值VIP,340,54,1200,597.2,13938,0.446,0.05,1566.55,17,92.15,0.13,0.105
2025-01-05,Web,社交分享,新用户,191,41,592,178.3,2930,0.517,0.0351,823.86,6,137.31,0.186,0.122
2025-01-05,Web,社交分享,活跃用户,1370,382,3463,752.8,28303,0.368,0.0709,47288.47,97,487.51,0.197,0.201
2025-01-05,Web,SEO,高价值VIP,336,50,1032,373.2,9949,0.317,0.008,745.1,2,372.55,0.46,0.209
2025-01-05,Web,自然增长,新用户,181,14,655,163.6,2470,0.513,0.0354,529.02,6,88.17,0.195,0.213
2025-01-05,Web,自然增长,活跃用户,1476,427,2540,723.0,5501,0.642,0.0416,19518.17,61,319.97,0.428,0.094
2025-01-05,快应用,线下地推,流失预警,61,9,113,249.5,679,0.549,0.0296,388.81,1,388.81,0.456,0.185
2025-01-05,快应用,线下地推,活跃用户,1277,191,3781,78.4,8685,0.533,0.0555,14787.5,70,211.25,0.32,0.137
2025-01-05,快应用,线下地推,沉默召回,92,9,347,886.0,2727,0.263,0.0323,675.92,2,337.96,0.297,0.064
2025-01-05,快应用,自然增长,新用户,228,35,482,46.4,4236,0.191,0.0613,4499.69,13,346.13,0.438,0.187
2025-01-05,快应用,自然增长,沉默召回,86,8,133,804.7,927,0.364,0.0262,275.04,2,137.52,0.494,0.158
2025-01-05,快应用,自然增长,流失预警,53,15,105,54.9,970,0.286,0.0146,0.0,0,218.16,0.303,0.172
2025-01-05,快应用,短信复购,高价值VIP,218,59,629,737.9,6988,0.464,0.0544,3046.34,11,276.94,0.323,0.095
2025-01-05,快应用,短信复购,新用户,167,42,616,717.0,5132,0.398,0.031,1211.25,5,242.25,0.178,0.211
2025-01-05,快应用,短信复购,活跃用户,1940,225,4745,835.1,32383,0.616,0.0349,6062.83,67,90.49,0.183,0.249
2025-01-05,快应用,KOL推荐,流失预警,39,10,151,721.7,740,0.366,0.0778,417.42,3,139.14,0.365,0.053
2025-01-05,快应用,KOL推荐,活跃用户,1769,162,5627,56.6,26202,0.517,0.0303,10268.22,53,193.74,0.166,0.099
2025-01-05,快应用,KOL推荐,高价值VIP,302,55,814,251.0,2421,0.441,0.0225,1713.9,6,285.65,0.239,0.106
2025-01-05,快应用,付费搜索,高价值VIP,321,63,667,793.1,4809,0.565,0.0667,9615.06,21,457.86,0.111,0.193
2025-01-05,快应用,付费搜索,沉默召回,96,21,196,528.9,1684,0.513,0.0464,798.08,4,199.52,0.25,0.203
2025-01-05,快应用,SEO,新用户,255,57,498,64.6,3559,0.451,0.0358,4399.02,9,488.78,0.217,0.215
2025-01-05,快应用,SEO,高价值VIP,284,58,1058,290.8,4201,0.526,0.0637,4887.72,18,271.54,0.496,0.233
2025-01-05,小程序,社交分享,新用户,209,12,721,705.9,8360,0.476,0.0653,3775.46,13,290.42,0.238,0.187
2025-01-05,小程序,社交分享,流失预警,62,6,215,539.6,1226,0.243,0.0247,80.55,1,80.55,0.319,0.162
2025-01-05,小程序,线下地推,沉默召回,79,13,158,704.0,378,0.411,0.041,1170.27,3,390.09,0.26,0.17
2025-01-05,小程序,线下地推,活跃用户,1494,216,4294,273.2,12141,0.311,0.0424,9591.75,63,152.25,0.365,0.23
2025-01-05,小程序,短信复购,流失预警,63,3,157,198.8,517,0.602,0.0683,915.0,4,228.75,0.473,0.056
2025-01-05,小程序,短信复购,沉默召回,132,17,446,624.4,5090,0.421,0.0361,1713.16,4,428.29,0.234,0.16
2025-01-05,小程序,短信复购,高价值VIP,266,43,540,759.7,1231,0.61,0.0699,1480.86,18,82.27,0.371,0.083
2025-01-05,小程序,信息流广告,高价值VIP,209,56,565,532.8,3995,0.594,0.0724,5309.85,15,353.99,0.141,0.186
2025-01-05,小程序,信息流广告,流失预警,41,8,114,630.8,776,0.359,0.0156,0.0,0,419.67,0.449,0.157
2025-01-05,iOS,异业合作,流失预警,42,6,106,877.9,421,0.495,0.0432,159.92,1,159.92,0.383,0.099
2025-01-05,iOS,信息流广告,活跃用户,1511,339,5121,833.0,59406,0.522,0.0589,6884.24,88,78.23,0.154,0.165
2025-01-05,iOS,信息流广告,高价值VIP,350,71,1176,891.2,13422,0.402,0.0103,468.45,3,156.15,0.463,0.138
2025-01-05,Android,付费搜索,高价值VIP,283,56,708,596.1,7806,0.406,0.0346,3573.09,9,397.01,0.137,0.199
2025-01-05,Android,付费搜索,活跃用户,1293,117,2684,652.0,26111,0.62,0.0563,3400.56,72,47.23,0.152,0.178
2025-01-05,Android,线下地推,高价值VIP,345,36,1088,810.9,8074,0.433,0.0262,2977.2,9,330.8,0.25,0.111
2025-01-05,Android,社交分享,沉默召回,126,15,428,576.8,4808,0.24,0.0422,2326.25,5,465.25,0.368,0.137
2025-01-05,Android,社交分享,高价值VIP,249,59,628,517.7,1734,0.635,0.0799,2467.91,19,129.89,0.337,0.076
2025-01-05,Android,社交分享,新用户,185,13,676,722.4,6373,0.251,0.0203,1222.2,3,407.4,0.485,0.182
2025-01-05,Android,自然增长,高价值VIP,212,44,482,519.0,5600,0.534,0.0159,824.49,3,274.83,0.156,0.144
2025-01-05,Android,EDM,高价值VIP,292,23,668,890.7,4721,0.559,0.0243,1118.25,7,159.75,0.312,0.2
2025-01-05,Android,EDM,新用户,218,34,766,41.0,8898,0.224,0.0714,3603.9,15,240.26,0.114,0.165
2025-01-06,Android,信息流广告,流失预警,68,7,172,163.4,1392,0.228,0.0793,239.45,5,47.89,0.267,0.12
2025-01-06,Android,信息流广告,活跃用户,2300,353,7145,584.5,70203,0.177,0.0192,21405.12,44,486.48,0.276,0.063
2025-01-06,Android,短信复购,高价值VIP,497,146,1889,875.3,20387,0.392,0.0778,5312.78,38,139.81,0.303,0.156
2025-01-06,Web,EDM,活跃用户,3213,542,11008,763.1,97823,0.627,0.0313,46854.0,100,468.54,0.357,0.174
2025-01-06,Web,EDM,流失预警,89,20,238,743.9,668,0.43,0.0651,2302.7,5,460.54,0.302,0.068
2025-01-06,Web,EDM,新用户,308,76,868,815.7,2942,0.451,0.04,1867.68,12,155.64,0.301,0.143
2025-01-06,Web,SEO,沉默召回,136,20,485,183.8,1484,0.626,0.0671,1362.87,9,151.43,0.295,0.207
2025-01-06,Web,SEO,流失预警,93,22,149,600.4,1632,0.408,0.0653,288.42,6,48.07,0.122,0.23
2025-01-06,Web,SEO,新用户,375,102,1437,894.9,15460,0.613,0.0277,4279.6,10,427.96,0.336,0.061
2025-01-06,Web,KOL推荐,沉默召回,124,30,342,418.1,2903,0.219,0.0228,740.28,2,370.14,0.459,0.144
2025-01-06,Web,KOL推荐,活跃用户,3249,951,8071,45.7,46020,0.353,0.0579,85754.32,188,456.14,0.163,0.175
2025-01-06,快应用,线下地推,新用户,388,41,719,118.5,6581,0.56,0.0378,624.82,14,44.63,0.382,0.15
2025-01-06,快应用,信息流广告,高价值VIP,306,57,613,541.6,5440,0.422,0.0194,1536.2,5,307.24,0.177,0.12
2025-01-06,快应用,社交分享,活跃用户,2496,678,5502,486.7,39794,0.5,0.0726,30697.6,181,169.6,0.374,0.229
2025-01-06,快应用,社交分享,流失预警,85,14,151,218.4,1159,0.544,0.0161,388.03,1,388.03,0.321,0.082
2025-01-06,快应用,社交分享,新用户,347,71,1130,763.0,5871,0.196,0.0203,1953.21,7,279.03,0.12,0.235
2025-01-06,快应用,SEO,沉默召回,176,23,394,311.0,1545,0.297,0.0135,249.36,2,124.68,0.495,0.174
2025-01-06,快应用,SEO,新用户,356,20,1290,660.6,6441,0.457,0.0138,1388.0,4,347.0,0.105,0.144
2025-01-06,快应用,付费搜索,流失预警,95,15,276,461.3,1535,0.252,0.0337,104.55,3,34.85,0.21,0.205
2025-01-06,小程序,KOL推荐,活跃用户,3042,327,6195,210.6,68315,0.574,0.0566,75807.28,172,440.74,0.18,0.079
2025-01-06,小程序,KOL推荐,流失预警,70,13,188,856.9,683,0.23,0.0731,889.0,5,177.8,0.129,0.18
2025-01-06,小程序,EDM,活跃用户,1993,535,3289,113.9,11307,0.323,0.0655,26735.8,130,205.66,0.445,0.199
2025-01-06,小程序,EDM,流失预警,58,11,219,472.0,1699,0.268,0.0797,1447.84,4,361.96,0.289,0.238
2025-01-06,小程序,EDM,沉默召回,164,9,330,779.8,1549,0.437,0.0675,3208.26,11,291.66,0.152,0.217
2025-01-06,小程序,SEO,流失预警,68,4,158,827.1,1311,0.473,0.0134,0.0,0,456.7,0.218,0.11
2025-01-06,小程序,SEO,活跃用户,2476,300,3872,63.1,36382,0.495,0.0638,29315.04,157,186.72,0.209,0.053
2025-01-06,小程序,短信复购,活跃用户,3151,488,10899,170.2,128367,0.596,0.0107,11176.77,33,338.69,0.116,0.248
2025-01-06,iOS,付费搜索,流失预警,63,17,167,896.1,771,0.429,0.0468,352.78,2,176.39,0.331,0.123
2025-01-06,iOS,SEO,新用户,351,80,844,776.9,4408,0.644,0.0098,511.53,3,170.51,0.398,0.188
2025-01-06,iOS,短信复购,高价值VIP,408,59,1417,431.8,2856,0.447,0.0239,714.33,9,79.37,0.427,0.16
2025-01-06,iOS,短信复购,活跃用户,2577,217,7423,802.4,88450,0.396,0.0314,37281.6,80,466.02,0.335,0.25
2025-01-06,iOS,短信复购,沉默召回,154,39,475,626.5,1196,0.37,0.057,1544.8,8,193.1,0.289,0.16
2025-01-06,iOS,KOL推荐,新用户,364,41,1222,201.0,2524,0.516,0.0515,8423.28,18,467.96,0.166,0.132
2025-01-06,iOS,KOL推荐,流失预警,75,4,234,454.7,1909,0.401,0.0363,139.8,2,69.9,0.351,0.193
2025-01-06,iOS,KOL推荐,活跃用户,2835,162,10328,640.3,92752,0.239,0.0352,36556.74,99,369.26,0.304,0.051
2025-01-06,iOS,EDM,沉默召回,179,43,292,94.8,897,0.595,0.0177,697.47,3,232.49,0.357,0.155
2025-01-06,iOS,EDM,活跃用户,2800,449,5422,862.6,45868,0.322,0.0448,28672.5,125,229.38,0.492,0.156
2025-01-06,iOS,信息流广告,活跃用户,1776,395,3323,314.8,20789,0.17,0.0526,26369.22,93,283.54,0.143,0.087
2025-01-07,iOS,异业合作,新用户,234,48,787,689.3,7804,0.358,0.0758,8098.46,17,476.38,0.138,0.065
2025-01-07,iOS,短信复购,沉默召回,121,32,400,642.4,937,0.609,0.011,315.65,1,315.65,0.39,0.073
2025-01-07,iOS,短信复购,高价值VIP,401,71,973,137.3,11400,0.182,0.0708,13243.72,28,472.99,0.229,0.183
2025-01-07,iOS,自然增长,新用户,358,82,844,760.1,2646,0.233,0.0428,5930.4,15,395.36,0.473,0.062
2025-01-07,iOS,自然增长,活跃用户,2531,376,8871,199.8,22619,0.393,0.0468,27877.5,118,236.25,0.336,0.107
2025-01-07,iOS,线下地推,流失预警,99,29,297,57.4,1692,0.301,0.0242,722.0,2,361.0,0.301,0.25
2025-01-07,iOS,SEO,沉默召回,110,21,317,720.6,1571,0.511,0.0304,930.57,3,310.19,0.427,0.144
2025-01-07,iOS,SEO,流失预警,98,28,329,292.0,3511,0.457,0.0513,281.5,5,56.3,0.173,0.096
2025-01-07,iOS,付费搜索,沉默召回,147,7,504,738.0,5295,0.597,0.0463,1184.04,6,197.34,0.269,0.234
2025-01-07,小程序,KOL推荐,高价值VIP,410,56,1102,439.7,2461,0.572,0.0321,2994.29,13,230.33,0.459,0.232
2025-01-07,小程序,KOL推荐,新用户,387,64,636,736.1,3752,0.623,0.0264,3957.2,10,395.72,0.113,0.054
2025-01-07,小程序,KOL推荐,流失预警,65,14,154,518.8,1122,0.58,0.0099,0.0,0,322.62,0.483,0.157
2025-01-07,小程序,自然增长,流失预警,100,21,290,804.3,3245,0.364,0.0051,0.0,0,416.1,0.227,0.102
2025-01-07,小程序,EDM,沉默召回,110,17,430,116.5,2146,0.303,0.0622,919.26,6,153.21,0.264,0.17
2025-01-07,小程序,EDM,高价值VIP,375,35,1285,549.3,6988,0.443,0.0572,1691.34,21,80.54,0.43,0.157
