month,department,location,headcount,avg_salary,avg_tenure_years,attrition_count,new_hires,promotion_count,training_days,overtime_hours,revenue_per_employee,cost_per_employee,engagement_score,span_of_control
2023-01,销售业务,武汉,29,13148.0,4.3,0,0,2,15,132,1037228.0,233435.0,3.9,5.8
2023-01,销售业务,广州,44,13455.0,3.8,2,0,2,23,166,560177.0,264920.0,4.1,3.7
2023-01,销售业务,南京,25,11070.0,3.4,1,5,1,31,26,489629.0,202290.0,3.9,12.5
2023-01,销售业务,西安,19,11614.0,3.1,1,0,1,15,76,992765.0,206966.0,3.4,4.8
2023-01,销售业务,新加坡,18,2525.0,1.6,0,0,2,16,118,135034.0,42928.0,3.2,6.0
2023-01,销售业务,东京,11,4881.0,7.2,0,5,0,22,46,266148.0,92267.0,3.5,11.0
2023-01,销售业务,伦敦,8,2481.0,5.9,0,5,0,25,42,214090.0,44704.0,3.0,4.0
2023-01,运营服务,北京,49,16798.0,2.3,1,4,2,1,345,1284885.0,351083.0,4.6,6.1
2023-01,运营服务,上海,49,36875.0,3.8,2,6,2,9,271,2888277.0,635631.0,4.1,3.8
2023-01,运营服务,深圳,43,19712.0,2.9,2,4,2,19,9,1069792.0,338285.0,4.5,5.4
2023-01,运营服务,杭州,33,12191.0,8.3,1,6,3,15,148,337811.0,217550.0,3.3,5.5
2023-01,运营服务,成都,22,13587.0,2.8,1,4,2,25,9,374561.0,211655.0,4.0,5.5
2023-01,运营服务,武汉,18,3486.0,4.6,0,0,1,2,26,181933.0,54545.0,3.5,3.6
2023-01,运营服务,广州,28,16094.0,4.8,1,1,3,20,80,1143197.0,292671.0,4.3,14.0
2023-01,运营服务,南京,19,10289.0,6.9,1,5,1,15,90,986311.0,215391.0,3.7,9.5
2023-01,运营服务,西安,17,12159.0,7.0,1,5,0,3,116,340340.0,232697.0,3.0,17.0
2023-01,运营服务,新加坡,10,3306.0,3.7,0,1,0,4,34,108390.0,64881.0,4.8,5.0
2023-01,运营服务,东京,6,3933.0,3.5,0,4,0,14,20,217979.0,81819.0,3.9,3.0
2023-01,运营服务,伦敦,4,5181.0,3.2,0,1,0,0,3,462692.0,104215.0,3.1,2.0
2023-01,市场营销,北京,39,39209.0,5.3,0,0,2,21,92,3606817.0,787541.0,3.1,4.9
2023-01,市场营销,上海,35,32470.0,7.0,0,4,2,37,53,808501.0,528735.0,2.8,8.8
2023-01,市场营销,深圳,30,9176.0,5.8,0,0,3,5,236,242614.0,172735.0,4.1,10.0
2023-01,市场营销,杭州,27,26579.0,7.5,1,4,1,16,161,1782680.0,479559.0,3.4,6.8
2023-01,市场营销,成都,17,10934.0,7.2,0,0,0,6,136,764583.0,226898.0,4.2,17.0
2023-01,市场营销,武汉,14,8854.0,4.5,0,0,1,9,7,301692.0,187516.0,4.1,14.0
2023-01,市场营销,广州,20,13447.0,8.1,0,2,1,34,71,1146122.0,295480.0,3.2,3.3
2023-01,市场营销,南京,11,4947.0,8.1,0,1,0,20,34,465180.0,107329.0,2.8,5.5
2023-01,市场营销,西安,10,8413.0,7.9,0,0,0,25,37,459010.0,157999.0,4.3,10.0
2023-01,市场营销,新加坡,10,6494.0,4.7,0,1,0,24,18,491960.0,116971.0,3.7,3.3
2023-01,市场营销,东京,9,5024.0,1.7,0,0,0,2,36,304237.0,107106.0,3.5,9.0
2023-01,市场营销,伦敦,5,1417.0,4.0,0,0,0,10,24,118895.0,28312.0,4.5,2.5
2023-01,客户成功,北京,35,25289.0,2.0,1,5,0,14,10,1218386.0,550846.0,4.5,3.5
2023-01,客户成功,上海,27,41529.0,6.5,1,0,1,8,86,3385417.0,929682.0,4.3,3.4
2023-01,客户成功,深圳,24,10680.0,1.7,1,0,0,34,36,675051.0,199202.0,2.5,8.0
2023-01,客户成功,杭州,21,8653.0,3.6,0,1,1,25,35,682850.0,153907.0,2.9,21.0
2023-01,客户成功,成都,15,7223.0,4.3,0,0,1,32,58,336689.0,125206.0,2.5,7.5
2023-01,客户成功,武汉,12,14636.0,3.9,0,2,0,39,81,357839.0,267221.0,3.6,6.0
2023-01,客户成功,广州,15,14168.0,3.7,0,1,1,22,15,283755.0,234345.0,2.7,15.0
2023-01,客户成功,南京,9,4750.0,5.2,0,3,0,40,61,295300.0,73547.0,3.1,4.5
2023-01,客户成功,西安,7,7870.0,4.8,0,0,0,22,26,448785.0,171195.0,4.7,3.5
2023-01,客户成功,新加坡,4,2559.0,7.8,0,0,0,25,16,154021.0,43562.0,4.1,2.0
2023-01,客户成功,东京,4,2527.0,4.0,0,5,0,25,29,137099.0,50718.0,4.6,4.0
2023-01,客户成功,伦敦,6,2202.0,3.5,0,5,0,14,5,149397.0,41193.0,3.1,6.0
2023-01,人力行政,北京,20,14551.0,5.4,0,5,1,31,67,1390705.0,258746.0,4.4,6.7
2023-01,人力行政,上海,24,17474.0,5.1,0,2,2,28,185,1407626.0,372299.0,3.9,8.0
2023-01,人力行政,深圳,20,7414.0,3.7,0,5,0,38,149,648710.0,132853.0,3.9,6.7
2023-01,人力行政,杭州,18,16311.0,2.1,0,5,2,36,121,792584.0,351792.0,3.4,6.0
2023-01,人力行政,成都,13,10316.0,2.3,0,5,0,24,87,649660.0,180244.0,3.3,4.3
2023-01,人力行政,武汉,5,14422.0,5.4,0,2,0,24,33,1225079.0,296971.0,2.5,2.5
2023-01,人力行政,广州,14,19125.0,6.5,0,4,0,33,16,1733797.0,399187.0,3.7,3.5
2023-01,人力行政,南京,11,14330.0,4.4,0,0,1,13,72,889464.0,303479.0,2.9,11.0
2023-01,人力行政,西安,10,7600.0,2.5,0,5,0,5,7,697798.0,157434.0,5.0,10.0
2023-01,人力行政,新加坡,3,5699.0,4.3,0,0,0,10,9,192249.0,97013.0,4.2,3.0
2023-01,财务管理,北京,16,30821.0,8.0,0,4,0,25,7,2560992.0,680020.0,3.4,5.3
2023-01,财务管理,上海,15,31504.0,1.2,0,0,0,28,68,2729395.0,556418.0,2.9,5.0
2023-01,财务管理,深圳,12,11094.0,3.7,0,0,0,24,33,419321.0,239636.0,3.9,6.0
2023-01,财务管理,杭州,16,18003.0,8.1,0,0,1,40,2,683433.0,322880.0,4.9,8.0
2023-01,财务管理,成都,13,18840.0,3.6,1,5,1,19,16,875735.0,395734.0,3.7,6.5
2023-01,财务管理,武汉,11,11045.0,8.2,0,0,0,2,29,820912.0,243616.0,2.9,11.0
2023-01,财务管理,广州,7,23062.0,1.4,0,3,0,26,13,2126565.0,480377.0,4.2,3.5
2023-01,财务管理,南京,10,12859.0,2.4,0,5,0,4,32,1035307.0,270540.0,3.9,5.0
2023-01,财务管理,西安,3,8797.0,2.0,0,4,0,7,13,164070.0,147463.0,3.0,3.0
2023-01,财务管理,新加坡,7,1633.0,3.6,0,0,0,19,21,116616.0,26864.0,2.6,7.0
2023-02,研发中心,北京,114,21352.0,3.9,3,7,5,31,634,613318.0,458090.0,2.7,6.3
2023-02,研发中心,上海,107,22189.0,7.6,3,1,10,22,175,1101657.0,447415.0,3.6,5.9
2023-02,研发中心,深圳,92,32754.0,2.9,5,3,6,21,299,2467217.0,718100.0,4.5,13.1
2023-02,研发中心,杭州,74,20437.0,3.9,5,5,8,35,221,1002147.0,415904.0,2.5,37.0
2023-02,研发中心,成都,53,19992.0,3.6,4,4,2,25,248,477553.0,411649.0,3.8,5.9
2023-02,研发中心,武汉,42,12390.0,4.6,0,0,3,36,221,702704.0,275907.0,4.9,3.8
2023-02,研发中心,广州,59,4964.0,2.1,0,0,1,35,79,302195.0,101494.0,2.8,7.4
2023-02,研发中心,南京,37,15355.0,4.5,0,2,2,12,244,977626.0,290803.0,4.0,18.5
2023-02,研发中心,西安,35,8344.0,8.0,2,5,3,4,219,698399.0,175345.0,4.1,17.5
2023-02,研发中心,新加坡,23,6051.0,8.3,1,6,1,29,77,437411.0,97874.0,4.5,7.7
2023-02,研发中心,东京,15,2860.0,7.1,1,5,0,8,44,185616.0,54397.0,3.9,15.0
2023-02,研发中心,伦敦,12,2294.0,5.4,0,5,1,15,82,118992.0,48004.0,3.7,6.0
2023-02,产品设计,北京,42,15077.0,3.4,2,5,4,39,236,881606.0,249578.0,4.9,6.0
2023-02,产品设计,上海,41,24351.0,3.7,1,3,1,33,22,2024143.0,479561.0,3.9,10.2
2023-02,产品设计,深圳,36,35989.0,5.9,1,1,1,37,214,3345490.0,712056.0,4.3,3.6
2023-02,产品设计,杭州,29,5846.0,1.7,1,6,1,26,32,236545.0,96895.0,3.5,9.7
2023-02,产品设计,成都,19,10770.0,5.5,1,2,1,38,59,238426.0,223190.0,4.3,6.3
2023-02,产品设计,武汉,13,16703.0,6.2,0,1,0,7,96,900107.0,353054.0,3.5,13.0
2023-02,产品设计,广州,23,14399.0,7.5,0,0,2,40,16,845119.0,234432.0,4.0,11.5
2023-02,产品设计,南京,14,15477.0,5.7,1,3,0,19,20,469221.0,296708.0,3.1,4.7
2023-02,产品设计,西安,15,9997.0,7.9,0,5,1,5,45,374261.0,195600.0,4.5,7.5
2023-02,产品设计,新加坡,11,7292.0,2.4,0,1,0,0,5,540606.0,119609.0,3.9,3.7
2023-02,产品设计,东京,3,5103.0,5.8,0,5,0,19,9,149827.0,96562.0,3.1,1.5
2023-02,产品设计,伦敦,6,2114.0,8.0,0,2,0,15,7,104100.0,39847.0,2.9,6.0
2023-02,销售业务,北京,76,24386.0,3.9,5,6,6,19,236,1739818.0,443867.0,2.5,6.9
2023-02,销售业务,上海,69,33588.0,6.1,4,7,2,30,227,1480598.0,563838.0,4.6,4.1
2023-02,销售业务,深圳,60,34851.0,3.0,4,5,2,15,322,3068819.0,702404.0,2.6,7.5
2023-02,销售业务,杭州,54,13635.0,7.4,1,6,6,1,324,851703.0,245705.0,4.3,3.6
2023-02,销售业务,成都,35,5017.0,2.9,0,0,2,8,127,411780.0,88734.0,4.5,4.4
2023-02,销售业务,武汉,27,8611.0,3.8,1,6,0,37,68,580863.0,174699.0,3.2,9.0
2023-02,销售业务,广州,41,23657.0,4.1,0,0,2,23,44,668653.0,402831.0,4.5,41.0
2023-02,销售业务,南京,29,12780.0,1.8,0,1,2,22,231,251294.0,260820.0,3.1,5.8
2023-02,销售业务,西安,23,12741.0,8.3,1,6,0,31,80,585060.0,280885.0,4.7,5.8
2023-02,销售业务,新加坡,17,7502.0,2.5,0,0,2,26,62,145247.0,156693.0,2.8,4.2
2023-02,销售业务,东京,10,5892.0,1.7,0,3,1,27,30,251256.0,91119.0,4.4,5.0
2023-02,销售业务,伦敦,11,5132.0,3.5,0,0,0,35,84,246655.0,108084.0,4.2,5.5
2023-02,运营服务,北京,54,25041.0,1.8,1,2,4,27,12,2233820.0,474184.0,4.4,27.0
2023-02,运营服务,上海,46,9151.0,7.9,2,6,4,3,110,592910.0,172031.0,3.8,5.1
2023-02,运营服务,深圳,48,9887.0,5.5,0,4,4,24,124,605868.0,160141.0,4.9,6.0
2023-02,运营服务,杭州,40,24607.0,1.8,2,5,4,38,23,2348858.0,487070.0,4.2,5.7
2023-02,运营服务,成都,27,22375.0,6.7,1,1,1,11,134,462568.0,419625.0,2.9,3.4
2023-02,运营服务,武汉,19,15397.0,6.5,1,0,1,18,114,462500.0,257932.0,3.0,4.8
2023-02,运营服务,广州,28,4761.0,5.0,1,0,3,14,12,371141.0,93438.0,4.9,4.7
2023-02,运营服务,南京,15,11108.0,3.7,0,1,0,5,33,535708.0,191547.0,2.6,3.8
2023-02,运营服务,西安,18,8248.0,6.5,0,0,1,21,125,723109.0,131869.0,3.3,4.5
2023-02,运营服务,新加坡,7,4198.0,5.6,0,4,0,19,15,378819.0,67276.0,2.6,3.5
2023-02,运营服务,东京,7,4467.0,2.3,0,0,0,22,27,195831.0,93526.0,3.1,3.5
2023-02,运营服务,伦敦,10,3101.0,3.0,0,0,0,35,61,82005.0,64747.0,4.6,10.0
2023-02,市场营销,北京,38,18477.0,4.7,0,0,1,3,70,1707405.0,408104.0,3.2,6.3
2023-02,市场营销,上海,31,30735.0,8.5,0,0,2,2,170,1904330.0,670909.0,4.6,3.9
2023-02,市场营销,深圳,34,26648.0,2.9,1,1,1,6,200,925626.0,448096.0,4.5,6.8
2023-02,市场营销,杭州,25,19227.0,6.8,0,0,1,18,57,815301.0,378880.0,4.0,12.5
2023-02,市场营销,成都,15,13097.0,8.3,0,5,1,36,82,657425.0,292490.0,3.5,3.8
2023-02,市场营销,武汉,13,10777.0,4.8,0,0,0,24,20,316103.0,177674.0,4.4,4.3
2023-02,市场营销,广州,23,5533.0,2.4,0,0,0,18,9,260261.0,114007.0,3.6,23.0
2023-02,市场营销,南京,11,7455.0,6.0,0,0,1,6,66,628945.0,123470.0,4.7,11.0
2023-02,市场营销,西安,13,3171.0,4.1,0,0,1,13,74,88512.0,60536.0,3.2,6.5
2023-02,市场营销,新加坡,11,6298.0,1.4,0,1,0,20,17,346035.0,123948.0,4.6,5.5
2023-02,市场营销,东京,6,2881.0,1.3,0,2,0,9,16,172462.0,61235.0,3.0,6.0
2023-02,市场营销,伦敦,4,4815.0,2.9,0,3,0,4,7,429716.0,75215.0,2.9,2.0
2023-02,客户成功,北京,30,42043.0,7.0,1,2,2,26,1,2013536.0,654675.0,3.6,15.0
2023-02,客户成功,上海,35,27560.0,6.6,2,2,3,24,73,2405836.0,564538.0,3.5,3.9
2023-02,客户成功,深圳,27,15904.0,8.3,0,0,1,12,193,372811.0,256460.0,4.9,13.5
2023-02,客户成功,杭州,23,5851.0,8.4,1,2,0,40,29,308376.0,114157.0,2.5,7.7
2023-02,客户成功,成都,20,4713.0,3.8,0,2,1,24,116,121628.0,94373.0,3.8,4.0
2023-02,客户成功,武汉,12,4224.0,2.6,0,3,1,24,34,179718.0,68750.0,4.4,6.0
2023-02,客户成功,广州,19,17859.0,4.6,0,0,1,17,6,631383.0,382271.0,4.8,6.3
2023-02,客户成功,南京,12,10806.0,5.4,0,5,0,14,31,707358.0,219968.0,3.5,4.0
2023-02,客户成功,西安,10,3387.0,7.2,0,2,0,24,2,120183.0,62275.0,4.5,5.0
2023-02,客户成功,新加坡,6,8558.0,6.3,0,3,0,25,15,212512.0,181906.0,2.7,3.0
2023-02,客户成功,东京,6,2839.0,6.9,0,1,0,24,18,55823.0,49303.0,3.2,3.0
2023-02,客户成功,伦敦,7,3622.0,7.6,0,2,0,33,4,197215.0,78551.0,3.1,7.0
2023-02,人力行政,北京,17,44564.0,7.9,0,5,0,4,113,2492480.0,984432.0,4.7,4.2
2023-02,人力行政,上海,21,27780.0,3.5,0,1,2,2,113,1643709.0,449329.0,4.7,5.2
2023-02,人力行政,深圳,15,24844.0,6.7,1,0,0,1,21,2233706.0,429214.0,3.2,5.0
2023-02,人力行政,杭州,16,27594.0,4.3,0,1,0,33,77,1924962.0,566032.0,5.0,5.3
2023-02,人力行政,成都,12,21392.0,2.9,0,5,1,1,27,1597932.0,383374.0,4.8,12.0
2023-02,人力行政,武汉,9,12334.0,7.0,0,4,0,22,27,914055.0,251903.0,4.9,4.5
2023-02,人力行政,广州,15,9190.0,8.5,0,2,1,9,34,528537.0,187693.0,2.9,7.5
2023-02,人力行政,南京,12,13454.0,7.4,0,3,1,15,79,403187.0,252318.0,4.5,4.0
2023-02,人力行政,西安,10,9768.0,3.1,0,1,0,12,15,857382.0,183357.0,4.0,5.0
2023-02,人力行政,东京,6,1233.0,3.9,0,5,0,20,29,80622.0,20010.0,4.3,3.0
2023-02,财务管理,北京,18,8906.0,6.3,0,1,2,23,67,433413.0,162129.0,4.5,3.6
2023-02,财务管理,上海,19,8147.0,8.1,1,4,1,0,59,527481.0,138999.0,4.2,4.8
2023-02,财务管理,深圳,12,29579.0,8.4,0,0,0,8,77,2456021.0,589780.0,3.3,4.0
2023-02,财务管理,杭州,10,15686.0,1.6,0,0,0,7,7,384100.0,277437.0,2.7,10.0
2023-02,财务管理,成都,12,7562.0,3.1,0,0,0,5,29,136828.0,152057.0,3.9,12.0
2023-02,财务管理,武汉,6,11057.0,3.4,0,0,0,35,25,611337.0,185498.0,4.8,6.0
2023-02,财务管理,广州,6,9766.0,3.1,0,5,0,15,40,931332.0,208920.0,4.8,3.0
2023-02,财务管理,南京,8,3709.0,2.2,0,0,0,1,52,128477.0,59237.0,4.3,4.0
2023-02,财务管理,西安,5,3749.0,4.0,0,1,0,9,12,188387.0,77799.0,4.2,2.5
2023-02,财务管理,新加坡,3,4734.0,2.6,0,0,0,29,13,186356.0,100627.0,2.9,3.0
2023-02,财务管理,东京,2,4855.0,8.3,0,0,0,40,12,392252.0,105745.0,2.9,2.0
2023-02,财务管理,伦敦,5,3549.0,5.6,0,3,0,10,11,150533.0,77187.0,3.5,2.5
2023-03,研发中心,北京,111,19148.0,5.0,7,8,11,40,439,1489830.0,392678.0,3.6,13.9
2023-03,研发中心,上海,102,10215.0,6.9,2,0,6,1,619,747611.0,159064.0,3.9,6.4
2023-03,研发中心,深圳,91,33247.0,3.5,3,1,8,24,715,2903284.0,693532.0,3.8,4.5
2023-03,研发中心,杭州,74,10048.0,3.8,1,1,1,17,399,928333.0,187654.0,2.8,12.3
2023-03,研发中心,成都,58,11312.0,1.4,1,4,4,4,274,906224.0,188079.0,3.3,3.6
2023-03,研发中心,武汉,48,14590.0,6.5,3,4,3,22,250,1233027.0,256943.0,3.4,4.8
2023-03,研发中心,广州,59,9586.0,4.5,3,2,1,13,200,892722.0,178226.0,3.0,3.5
2023-03,研发中心,南京,41,4722.0,3.8,3,8,4,6,52,144042.0,104056.0,3.2,13.7
2023-03,研发中心,西安,33,4709.0,7.0,1,4,1,15,16,357710.0,89269.0,2.9,11.0
2023-03,研发中心,新加坡,23,8957.0,5.3,1,2,2,10,28,188694.0,167513.0,4.3,4.6
2023-03,研发中心,东京,16,1662.0,5.8,0,4,1,18,89,49277.0,25626.0,2.8,16.0
2023-03,研发中心,伦敦,17,4712.0,5.2,0,5,0,4,111,335431.0,77848.0,4.0,4.2
2023-03,产品设计,北京,41,31282.0,3.6,0,3,2,5,9,607778.0,561325.0,2.7,4.6
2023-03,产品设计,上海,37,29338.0,6.2,2,2,1,11,106,2107242.0,454447.0,3.5,4.6
2023-03,产品设计,深圳,34,10857.0,3.6,0,1,0,12,139,773655.0,233861.0,4.1,8.5
2023-03,产品设计,杭州,32,14170.0,2.7,0,4,3,9,15,1210523.0,229313.0,3.5,4.6
2023-03,产品设计,成都,20,6293.0,7.3,1,5,2,30,78,117814.0,106002.0,2.5,6.7
2023-03,产品设计,武汉,17,16666.0,1.7,0,0,1,16,118,305557.0,336660.0,3.2,5.7
2023-03,产品设计,广州,27,4959.0,3.6,1,6,1,9,148,454933.0,105185.0,2.9,27.0
2023-03,产品设计,南京,13,6630.0,2.1,0,0,1,26,78,415737.0,134825.0,2.7,4.3
2023-03,产品设计,西安,12,3756.0,7.3,0,3,0,15,89,115258.0,75212.0,4.9,12.0
2023-03,产品设计,新加坡,10,5324.0,5.2,0,5,0,15,44,478395.0,109574.0,4.9,3.3
2023-03,产品设计,东京,7,3958.0,4.2,0,1,0,2,49,104125.0,64162.0,3.3,7.0
2023-03,产品设计,伦敦,6,2378.0,6.2,0,5,0,34,35,142651.0,43311.0,3.1,3.0
2023-03,销售业务,北京,74,27666.0,1.3,1,3,8,22,546,2420491.0,524340.0,4.3,3.9
2023-03,销售业务,上海,73,11738.0,5.2,1,3,7,8,182,769002.0,254129.0,3.4,6.6
2023-03,销售业务,深圳,63,27581.0,3.9,4,2,3,22,288,1371539.0,486756.0,3.7,21.0
2023-03,销售业务,杭州,49,23228.0,6.9,3,4,1,19,388,1018454.0,424648.0,2.9,3.5
2023-03,销售业务,成都,37,10015.0,7.5,0,4,0,36,182,936427.0,194222.0,4.8,37.0
2023-03,销售业务,武汉,27,16197.0,6.0,2,2,0,13,51,770255.0,308582.0,4.4,27.0
2023-03,销售业务,广州,37,23029.0,2.6,1,0,1,32,295,2009822.0,449226.0,4.3,37.0
2023-03,销售业务,南京,29,6436.0,7.8,1,2,2,36,154,494915.0,120702.0,4.7,9.7
2023-03,销售业务,西安,26,3567.0,7.8,0,4,2,14,54,209126.0,67060.0,3.9,5.2
2023-03,销售业务,新加坡,16,8131.0,2.3,0,4,1,6,66,638475.0,180379.0,3.7,8.0
2023-03,销售业务,东京,8,5150.0,7.7,0,0,0,31,36,339937.0,114647.0,4.6,4.0
2023-03,销售业务,伦敦,9,2348.0,6.2,0,2,0,19,35,62468.0,51987.0,3.6,9.0
2023-03,运营服务,北京,53,13011.0,5.9,3,5,4,19,393,692837.0,232670.0,3.9,4.4
2023-03,运营服务,上海,51,8689.0,7.0,1,4,3,32,107,780536.0,165179.0,4.9,4.6
2023-03,运营服务,深圳,40,21332.0,5.6,2,6,2,20,230,1228209.0,361807.0,4.2,6.7
2023-03,运营服务,杭州,38,22849.0,7.0,0,5,2,13,156,1618186.0,430056.0,4.9,9.5
2023-03,运营服务,成都,22,22427.0,6.0,0,5,1,24,24,1943358.0,453083.0,4.6,7.3
2023-03,运营服务,武汉,17,12700.0,1.2,0,1,0,10,38,417554.0,259188.0,3.8,5.7
2023-03,运营服务,广州,24,9209.0,2.6,1,4,0,35,85,655729.0,144605.0,3.0,24.0
2023-03,运营服务,南京,16,14840.0,6.2,0,1,0,15,80,1070851.0,302388.0,4.5,5.3
2023-03,运营服务,西安,19,4130.0,5.5,0,0,2,15,68,229634.0,65766.0,3.6,3.8
2023-03,运营服务,新加坡,12,8158.0,5.5,0,3,0,28,5,727965.0,134130.0,2.6,12.0
2023-03,运营服务,东京,11,2596.0,2.6,0,2,1,23,72,102229.0,48521.0,3.5,11.0
2023-03,运营服务,伦敦,4,3406.0,3.0,0,0,0,9,30,241165.0,70473.0,2.5,2.0
2023-03,市场营销,北京,38,9098.0,6.6,0,0,1,9,277,624399.0,181901.0,4.1,6.3
2023-03,市场营销,上海,37,18006.0,4.3,2,3,3,16,189,843363.0,379548.0,3.4,6.2
2023-03,市场营销,深圳,28,10765.0,4.2,1,5,0,31,124,838771.0,211425.0,4.2,7.0
2023-03,市场营销,杭州,25,22336.0,4.8,1,2,1,38,15,859993.0,472727.0,2.6,5.0
2023-03,市场营销,成都,17,16844.0,7.2,0,4,1,9,108,1472229.0,325757.0,3.0,8.5
2023-03,市场营销,武汉,13,4119.0,4.4,0,0,0,29,98,268676.0,75879.0,4.8,6.5
2023-03,市场营销,广州,17,23075.0,1.7,0,0,0,3,53,1466496.0,389079.0,3.3,17.0
2023-03,市场营销,南京,16,8452.0,4.7,0,0,0,4,49,604298.0,174824.0,4.5,16.0
2023-03,市场营销,西安,10,8816.0,4.0,0,0,0,21,28,175804.0,141014.0,2.9,5.0
2023-03,市场营销,新加坡,4,8008.0,7.8,0,0,0,29,28,611736.0,133516.0,4.4,2.0
2023-03,市场营销,东京,6,4643.0,3.6,0,5,0,35,9,106078.0,77792.0,2.9,6.0
2023-03,市场营销,伦敦,2,5315.0,2.4,0,0,0,16,13,387398.0,95456.0,3.9,2.0
2023-03,客户成功,北京,33,26170.0,1.3,1,0,2,16,225,788744.0,517993.0,4.8,5.5
2023-03,客户成功,上海,29,20317.0,2.8,1,3,1,35,231,1215662.0,314886.0,2.5,5.8
2023-03,客户成功,深圳,30,16804.0,4.6,1,0,3,5,36,1488512.0,319236.0,4.0,10.0
2023-03,客户成功,杭州,27,13534.0,4.1,0,0,1,9,102,968863.0,215169.0,4.1,3.9
2023-03,客户成功,成都,17,6211.0,1.4,0,5,0,33,108,127919.0,112483.0,4.3,3.4
2023-03,客户成功,武汉,17,3357.0,2.7,0,4,0,30,94,226954.0,55090.0,4.0,8.5
2023-03,客户成功,广州,15,22310.0,6.8,1,1,1,23,30,2112145.0,448559.0,3.2,3.8
2023-03,客户成功,南京,8,3897.0,5.6,0,2,0,33,56,70986.0,79176.0,3.7,4.0
2023-03,客户成功,西安,13,12082.0,2.0,0,5,0,6,92,1111860.0,225922.0,3.2,6.5
2023-03,客户成功,新加坡,6,3265.0,8.3,0,5,0,28,44,97395.0,71125.0,3.5,6.0
2023-03,客户成功,东京,6,6608.0,1.9,0,0,0,30,3,539139.0,124723.0,4.3,6.0
2023-03,客户成功,伦敦,2,1012.0,1.6,0,2,0,10,7,73734.0,19961.0,2.6,2.0
2023-03,人力行政,北京,19,30944.0,7.7,0,5,0,29,85,2101725.0,664587.0,3.6,3.8
2023-03,人力行政,上海,23,33898.0,3.1,1,4,0,39,66,2378895.0,561363.0,3.2,5.8
2023-03,人力行政,深圳,18,10354.0,6.9,0,2,0,23,23,913592.0,231594.0,3.1,3.6
